index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
43897,45407194,1,0,1,2,3,4,1,0,0,1,1,0,0,1,33
43898,45405537,1,0,1,2,3,4,0,0,0,1,1,1,1,1,25
43899,45405694,1,0,1,2,3,4,0,0,0,1,1,1,1,1,6
43900,45404702,1,0,1,2,3,4,0,0,0,1,1,1,1,1,8
43901,45404614,1,0,1,2,3,4,0,0,0,1,1,1,1,1,23
43902,45403587,1,0,0,2,3,4,1,1,1,1,0,1,1,1,33
43903,45403581,1,0,1,2,3,4,0,1,0,1,1,1,1,1,7
43904,45399092,1,0,1,2,3,4,1,0,0,0,1,1,1,1,5
43905,45399091,1,0,1,2,3,4,1,1,0,0,1,1,1,1,27
43906,45399090,1,0,1,2,3,4,1,1,0,0,1,1,1,1,14
43907,45398247,1,0,1,2,3,4,1,0,0,1,1,1,1,1,27
43908,45398175,1,0,1,2,3,4,1,1,0,1,1,1,1,1,25
43909,45398163,1,0,1,2,3,4,1,0,1,1,1,1,1,1,19
43910,45390403,0,0,1,2,3,4,1,1,0,1,1,1,1,1,33
43911,45389415,0,0,1,2,3,4,1,0,0,1,1,1,1,1,7
43912,45389193,1,0,1,2,3,4,1,1,0,1,1,1,0,1,29
43913,45388821,0,0,1,2,3,4,1,1,0,1,1,1,1,1,28
43914,45384191,1,0,1,2,3,4,0,1,0,1,1,1,1,1,19
43915,45384166,1,0,1,2,3,4,1,1,0,1,1,1,1,1,24
43916,45383286,0,0,1,2,3,4,1,1,0,1,1,1,1,1,9
43917,45381188,1,0,1,2,3,4,1,1,0,0,1,1,1,1,31
43918,45380653,1,0,1,2,3,4,0,0,0,0,1,1,0,1,29
43919,45372501,1,0,0,2,3,4,0,1,0,0,0,1,1,1,27
43920,45372063,0,0,1,2,3,4,1,1,0,1,1,1,1,1,1
43921,45371667,1,0,1,2,3,4,1,1,0,1,1,1,0,1,17
43922,45369423,1,0,1,2,3,4,1,1,0,0,1,1,1,1,9
43923,45364666,1,0,1,2,3,4,1,0,0,1,1,1,1,1,8
43924,45361659,0,0,0,2,3,4,1,0,0,0,0,1,1,1,20
43925,45361595,1,0,1,2,3,4,1,0,0,0,1,1,0,1,23
43926,45360607,0,0,1,2,3,4,0,1,0,0,1,1,1,1,29
43927,45357600,1,0,1,2,3,4,0,0,0,1,1,1,1,1,27
43928,45359159,1,0,1,2,3,4,1,0,0,0,1,1,0,1,14
43929,45358096,1,0,1,2,3,4,1,1,0,0,1,1,0,1,23
43930,45357528,1,0,1,2,3,4,0,0,0,0,1,1,1,1,21
43931,45357530,1,0,1,2,3,4,1,0,0,0,1,1,1,1,5
43932,45351698,1,0,1,2,3,4,1,1,0,0,1,1,1,1,22
43933,45351699,1,0,1,2,3,4,1,0,0,0,1,1,1,1,12
43934,45350599,1,0,1,2,3,4,1,0,0,1,1,1,1,1,22
43935,45345278,0,0,1,2,3,4,0,0,0,1,1,1,1,1,9
43936,45344362,0,0,1,2,3,4,0,0,0,1,1,1,0,1,31
43937,45344363,0,0,1,2,3,4,0,0,0,1,1,1,1,1,27
43938,45343589,1,0,1,2,3,4,1,1,0,1,1,1,0,1,10
43939,45342908,0,0,1,2,3,4,1,1,0,1,1,1,1,1,1
43940,45341468,1,0,1,2,3,4,1,0,0,1,1,1,1,1,28
43941,45339359,1,0,1,2,3,4,1,1,0,0,1,1,0,1,20
43942,45339205,1,0,1,2,3,4,0,0,0,0,1,1,1,1,15
43943,45335361,1,0,1,2,3,4,0,0,0,1,1,1,1,1,30
